mese,categoria,cod_stazione,ruolo,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2026-02,EC,S01003,arrivo,"(-10,-5]",1,0,7
2026-02,EC,S01003,arrivo,"(-15,-10]",2,0,23
2026-02,EC,S01003,arrivo,"(-5,-1]",2,0,8
2026-02,EC,S01003,arrivo,"(0,1]",1,1,0
2026-02,EC,S01003,arrivo,"(1,5]",2,10,0
2026-02,EC,S01003,arrivo,"(5,10]",2,14,0
2026-02,EC,S01003,arrivo,"(60,120]",1,64,0
2026-02,EC,S01003,partenza,"(-1,0]",1,0,0
2026-02,EC,S01003,partenza,"(-5,-1]",1,0,2
2026-02,EC,S01003,partenza,"(1,5]",2,8,0
2026-02,EC,S01003,partenza,"(10,15]",1,12,0
2026-02,EC,S01003,partenza,"(15,30]",1,20,0
2026-02,EC,S01003,partenza,"(30,60]",1,42,0
2026-02,EC,S01003,partenza,"(5,10]",2,17,0
2026-02,EC,S01301,arrivo,"(-5,-1]",6,0,15
2026-02,EC,S01301,arrivo,"(0,1]",3,3,0
2026-02,EC,S01301,arrivo,"(1,5]",3,10,0
2026-02,EC,S01301,arrivo,"(5,10]",1,7,0
2026-02,EC,S01301,partenza,"(-1,0]",1,0,0
2026-02,EC,S01301,partenza,"(-5,-1]",7,0,21
2026-02,EC,S01301,partenza,"(0,1]",1,1,0
2026-02,EC,S01301,partenza,"(1,5]",3,8,0
2026-02,EC,S01301,partenza,"(10,15]",1,14,0
2026-02,EC,S01301,partenza,"(15,30]",1,18,0
2026-02,EC,S01301,partenza,"(5,10]",1,10,0
2026-02,EC,S01700,arrivo,"(-1,0]",2,0,0
2026-02,EC,S01700,arrivo,"(-5,-1]",7,0,21
2026-02,EC,S01700,arrivo,"(0,1]",1,1,0
2026-02,EC,S01700,arrivo,"(1,5]",5,16,0
2026-02,EC,S01700,arrivo,"(10,15]",2,26,0
2026-02,EC,S01700,arrivo,"(15,30]",1,20,0
2026-02,EC,S01700,arrivo,"(30,60]",1,42,0
2026-02,EC,S01700,arrivo,"(5,10]",2,17,0
2026-02,EC,S01700,partenza,"(-10,-5]",1,0,7
2026-02,EC,S01700,partenza,"(-15,-10]",2,0,23
2026-02,EC,S01700,partenza,"(-5,-1]",8,0,23
2026-02,EC,S01700,partenza,"(0,1]",3,3,0
2026-02,EC,S01700,partenza,"(1,5]",3,10,0
2026-02,EC,S01700,partenza,"(5,10]",2,14,0
2026-02,EC,S01700,partenza,"(60,120]",1,64,0
2026-02,EC,S02001,arrivo,"(-1,0]",1,0,0
2026-02,EC,S02001,arrivo,"(-5,-1]",5,0,10
2026-02,EC,S02001,arrivo,"(0,1]",1,1,0
2026-02,EC,S02001,arrivo,"(1,5]",2,5,0
2026-02,EC,S02001,arrivo,"(10,15]",1,12,0
2026-02,EC,S02001,arrivo,"(15,30]",1,18,0
2026-02,EC,S02001,partenza,"(-10,-5]",1,0,6
2026-02,EC,S02001,partenza,"(-5,-1]",1,0,3
2026-02,EC,S02001,partenza,"(15,30]",2,38,0
2026-02,EC,S02001,partenza,"(30,60]",1,39,0
2026-02,EC,S02001,partenza,"(5,10]",3,22,0
2026-02,EC,S02026,arrivo,"(-10,-5]",1,0,6
2026-02,EC,S02026,arrivo,"(-5,-1]",1,0,1
2026-02,EC,S02026,partenza,"(-5,-1]",1,0,4
2026-02,EC,S02026,partenza,"(0,1]",1,1,0
2026-02,EC,S02430,arrivo,"(-5,-1]",1,0,3
2026-02,EC,S02430,arrivo,"(30,60]",1,39,0
2026-02,EC,S02430,partenza,"(-1,0]",1,0,0
2026-02,EC,S02430,partenza,"(-5,-1]",1,0,2
2026-02,EC,S02593,arrivo,"(-5,-1]",1,0,2
2026-02,EC,S02593,arrivo,"(0,1]",1,1,0
2026-02,EC,S02593,arrivo,"(15,30]",3,65,0
2026-02,EC,S02593,arrivo,"(30,60]",1,39,0
2026-02,EC,S02593,arrivo,"(5,10]",1,6,0
2026-02,EC,S02593,partenza,"(-15,-10]",1,0,10
2026-02,EC,S02593,partenza,"(-5,-1]",2,0,4
2026-02,EC,S02593,partenza,"(0,1]",1,1,0
2026-02,EC,S02593,partenza,"(1,5]",1,5,0
2026-02,EC,S02593,partenza,"(10,15]",1,12,0
2026-02,EC,S02593,partenza,"(5,10]",1,7,0
2026-02,EC,S05043,arrivo,"(1,5]",1,5,0
2026-02,EC,S05043,arrivo,"(15,30]",1,16,0
2026-02,EC,S05043,arrivo,"(30,60]",1,39,0
2026-02,EC,S05043,arrivo,"(5,10]",2,16,0
2026-02,EC,S05043,partenza,"(-5,-1]",2,0,2
2026-02,EC,S05043,partenza,"(1,5]",1,5,0
2026-02,EC,S05043,partenza,"(15,30]",1,18,0
2026-02,EC,S06421,arrivo,"(5,10]",1,10,0
2026-02,EC,S06421,partenza,"(-5,-1]",1,0,3
2026-02,ECFR,S00201,partenza,"(10,15]",2,26,0
2026-02,ECFR,S00201,partenza,"(5,10]",2,13,0
2026-02,ECFR,S01700,arrivo,"(10,15]",2,26,0
2026-02,ECFR,S01700,arrivo,"(5,10]",2,13,0
2026-02,EN,S05043,arrivo,"(5,10]",1,7,0
2026-02,EN,S05043,partenza,"(30,60]",1,36,0
2026-02,EN,S08217,arrivo,"(30,60]",1,36,0
2026-02,EN,S08217,partenza,"(5,10]",1,7,0
2026-02,EXP,S02430,arrivo,"(-15,-10]",1,0,12
2026-02,EXP,S02430,partenza,"(1,5]",1,5,0
2026-02,EXP,S04501,arrivo,"(-1,0]",1,0,0
2026-02,EXP,S04516,partenza,"(-1,0]",1,0,0
2026-02,EXP,S06500,arrivo,"(1,5]",1,5,0
2026-02,EXP,S06500,partenza,"(-10,-5]",1,0,8
2026-02,EXP,S07113,arrivo,"(10,15]",1,11,0
2026-02,EXP,S07113,partenza,"(-15,-10]",1,0,12
2026-02,EXP,S08406,arrivo,"(-10,-5]",1,0,8
2026-02,EXP,S08406,partenza,"(10,15]",1,11,0
2026-02,FA,S04700,arrivo,"(-1,0]",1,0,0
2026-02,FA,S04700,arrivo,"(-30,-15]",1,0,18
2026-02,FA,S04700,arrivo,"(30,60]",1,34,0
2026-02,FA,S04700,partenza,"(-10,-5]",1,0,5
2026-02,FA,S04700,partenza,"(-5,-1]",1,0,2
2026-02,FA,S04700,partenza,> 120,1,122,0
2026-02,FA,S05811,arrivo,"(-5,-1]",1,0,2
2026-02,FA,S05811,partenza,"(-5,-1]",1,0,3
2026-02,FA,S05811,partenza,"(30,60]",1,46,0
2026-02,FA,S08409,arrivo,"(-1,0]",1,0,0
2026-02,FA,S08409,arrivo,"(-10,-5]",1,0,5
2026-02,FA,S08409,arrivo,"(-30,-15]",1,0,17
2026-02,FA,S08409,arrivo,"(-5,-1]",2,0,5
2026-02,FA,S08409,arrivo,"(0,1]",1,1,0
2026-02,FA,S08409,arrivo,"(1,5]",2,6,0
2026-02,FA,S08409,arrivo,"(30,60]",2,100,0
2026-02,FA,S08409,arrivo,"(5,10]",1,8,0
2026-02,FA,S08409,arrivo,"(60,120]",2,165,0
2026-02,FA,S08409,arrivo,> 120,1,122,0
2026-02,FA,S08409,partenza,"(-1,0]",1,0,0
2026-02,FA,S08409,partenza,"(-10,-5]",1,0,9
2026-02,FA,S08409,partenza,"(-30,-15]",1,0,18
2026-02,FA,S08409,partenza,"(-5,-1]",2,0,3
2026-02,FA,S08409,partenza,"(1,5]",3,8,0
2026-02,FA,S08409,partenza,"(30,60]",1,34,0
2026-02,FA,S08409,partenza,"(5,10]",1,10,0
2026-02,FA,S08409,partenza,"(60,120]",1,103,0
2026-02,FA,S09211,arrivo,"(1,5]",1,2,0
2026-02,FA,S09211,arrivo,"(5,10]",1,10,0
2026-02,FA,S09211,partenza,"(-1,0]",1,0,0
2026-02,FA,S09211,partenza,"(-30,-15]",1,0,17
2026-02,FA,S09211,partenza,"(1,5]",2,6,0
2026-02,FA,S09211,partenza,"(60,120]",1,68,0
2026-02,FA,S09311,arrivo,"(1,5]",1,3,0
2026-02,FA,S11145,arrivo,"(1,5]",1,3,0
2026-02,FA,S11781,arrivo,"(-10,-5]",1,0,9
2026-02,FA,S11781,arrivo,"(-5,-1]",1,0,1
2026-02,FA,S11781,arrivo,"(30,60]",1,60,0
2026-02,FA,S11781,arrivo,"(60,120]",1,103,0
2026-02,FA,S11781,partenza,"(0,1]",1,1,0
2026-02,FA,S11781,partenza,"(30,60]",1,54,0
2026-02,FA,S11781,partenza,"(5,10]",1,8,0
2026-02,FA,S11781,partenza,"(60,120]",1,97,0
2026-02,FB,S01700,arrivo,"(10,15]",1,11,0
2026-02,FB,S01700,arrivo,"(5,10]",1,10,0
2026-02,FB,S01700,partenza,"(1,5]",1,2,0
2026-02,FB,S01700,partenza,"(15,30]",1,16,0
2026-02,FB,S04700,arrivo,"(-5,-1]",1,0,2
2026-02,FB,S04700,arrivo,"(10,15]",1,13,0
2026-02,FB,S04700,arrivo,"(15,30]",1,29,0
2026-02,FB,S04700,arrivo,"(60,120]",1,78,0
2026-02,FB,S04700,partenza,"(-1,0]",1,0,0
2026-02,FB,S04700,partenza,"(0,1]",1,1,0
2026-02,FB,S04700,partenza,"(5,10]",2,16,0
2026-02,FB,S04700,partenza,"(60,120]",2,218,0
2026-02,FB,S08409,arrivo,"(-1,0]",1,0,0
2026-02,FB,S08409,arrivo,"(0,1]",1,1,0
2026-02,FB,S08409,arrivo,"(1,5]",1,2,0
2026-02,FB,S08409,arrivo,"(15,30]",1,16,0
2026-02,FB,S08409,arrivo,"(5,10]",2,16,0
2026-02,FB,S08409,arrivo,"(60,120]",2,218,0
2026-02,FB,S08409,partenza,"(-5,-1]",1,0,2
2026-02,FB,S08409,partenza,"(10,15]",2,24,0
2026-02,FB,S08409,partenza,"(15,30]",1,29,0
2026-02,FB,S08409,partenza,"(5,10]",1,10,0
2026-02,FB,S08409,partenza,"(60,120]",1,78,0
2026-02,FR,S00202,arrivo,"(10,15]",1,11,0
2026-02,FR,S00202,arrivo,"(5,10]",1,10,0
2026-02,FR,S00202,partenza,"(-15,-10]",1,0,10
2026-02,FR,S00202,partenza,"(60,120]",1,116,0
2026-02,FR,S00219,arrivo,"(-1,0]",1,0,0
2026-02,FR,S00219,arrivo,"(-10,-5]",1,0,5
2026-02,FR,S00219,arrivo,"(-5,-1]",1,0,4
2026-02,FR,S00219,arrivo,"(1,5]",3,12,0
2026-02,FR,S00219,arrivo,"(10,15]",5,59,0
2026-02,FR,S00219,arrivo,"(15,30]",3,64,0
2026-02,FR,S00219,arrivo,"(30,60]",4,212,0
2026-02,FR,S00219,arrivo,"(5,10]",6,51,0
2026-02,FR,S00219,arrivo,"(60,120]",1,95,0
2026-02,FR,S00219,arrivo,> 120,1,168,0
2026-02,FR,S00219,partenza,"(-1,0]",1,0,0
2026-02,FR,S00219,partenza,"(-10,-5]",6,0,45
2026-02,FR,S00219,partenza,"(-15,-10]",1,0,13
2026-02,FR,S00219,partenza,"(-5,-1]",2,0,2
2026-02,FR,S00219,partenza,"(0,1]",1,1,0
2026-02,FR,S00219,partenza,"(1,5]",2,9,0
2026-02,FR,S00219,partenza,"(10,15]",2,28,0
2026-02,FR,S00219,partenza,"(15,30]",3,70,0
2026-02,FR,S00219,partenza,"(30,60]",3,142,0
2026-02,FR,S00219,partenza,"(5,10]",5,37,0
2026-02,FR,S00219,partenza,"(60,120]",5,510,0
2026-02,FR,S00219,partenza,> 120,5,957,0
2026-02,FR,S01700,arrivo,"(-1,0]",5,0,0
2026-02,FR,S01700,arrivo,"(-15,-10]",1,0,12
2026-02,FR,S01700,arrivo,"(-5,-1]",6,0,15
2026-02,FR,S01700,arrivo,"(0,1]",3,3,0
2026-02,FR,S01700,arrivo,"(1,5]",16,57,0
2026-02,FR,S01700,arrivo,"(10,15]",8,102,0
2026-02,FR,S01700,arrivo,"(15,30]",5,102,0
2026-02,FR,S01700,arrivo,"(30,60]",2,91,0
2026-02,FR,S01700,arrivo,"(5,10]",10,72,0
2026-02,FR,S01700,arrivo,"(60,120]",8,701,0
2026-02,FR,S01700,arrivo,> 120,3,445,0
2026-02,FR,S01700,partenza,"(-1,0]",4,0,0
2026-02,FR,S01700,partenza,"(-10,-5]",11,0,71
2026-02,FR,S01700,partenza,"(-15,-10]",2,0,24
2026-02,FR,S01700,partenza,"(-30,-15]",2,0,38
2026-02,FR,S01700,partenza,"(-5,-1]",11,0,30
2026-02,FR,S01700,partenza,"(1,5]",12,43,0
2026-02,FR,S01700,partenza,"(10,15]",2,24,0
2026-02,FR,S01700,partenza,"(15,30]",1,17,0
2026-02,FR,S01700,partenza,"(30,60]",2,82,0
2026-02,FR,S01700,partenza,"(5,10]",5,38,0
2026-02,FR,S01700,partenza,"(60,120]",7,663,0
2026-02,FR,S01700,partenza,> 120,5,833,0
2026-02,FR,S01717,arrivo,"(-5,-1]",2,0,3
2026-02,FR,S01717,arrivo,"(5,10]",1,8,0
2026-02,FR,S01717,arrivo,"(60,120]",2,186,0
2026-02,FR,S01717,partenza,"(-1,0]",2,0,0
2026-02,FR,S01717,partenza,"(-10,-5]",1,0,6
2026-02,FR,S01717,partenza,"(15,30]",1,24,0
2026-02,FR,S01717,partenza,> 120,2,300,0
2026-02,FR,S02026,arrivo,"(-10,-5]",1,0,7
2026-02,FR,S02026,arrivo,"(-5,-1]",1,0,3
2026-02,FR,S02026,arrivo,"(0,1]",1,1,0
2026-02,FR,S02026,arrivo,"(1,5]",2,6,0
2026-02,FR,S02026,arrivo,"(10,15]",1,15,0
2026-02,FR,S02026,arrivo,"(5,10]",1,9,0
2026-02,FR,S02026,arrivo,"(60,120]",3,230,0
2026-02,FR,S02026,partenza,"(-1,0]",1,0,0
2026-02,FR,S02026,partenza,"(-5,-1]",2,0,7
2026-02,FR,S02026,partenza,"(1,5]",2,9,0
2026-02,FR,S02026,partenza,"(30,60]",1,47,0
2026-02,FR,S02026,partenza,"(5,10]",1,7,0
2026-02,FR,S02026,partenza,"(60,120]",3,324,0
2026-02,FR,S02026,partenza,> 120,1,161,0
2026-02,FR,S02336,arrivo,"(30,60]",1,39,0
2026-02,FR,S02336,arrivo,"(5,10]",1,8,0
2026-02,FR,S02336,partenza,"(-10,-5]",1,0,9
2026-02,FR,S02336,partenza,"(60,120]",1,86,0
2026-02,FR,S02589,arrivo,"(60,120]",2,188,0
2026-02,FR,S02589,arrivo,> 120,1,162,0
2026-02,FR,S02589,partenza,"(10,15]",1,13,0
2026-02,FR,S02589,partenza,"(60,120]",1,82,0
2026-02,FR,S02593,arrivo,"(-1,0]",3,0,0
2026-02,FR,S02593,arrivo,"(-10,-5]",2,0,15
2026-02,FR,S02593,arrivo,"(-5,-1]",5,0,11
2026-02,FR,S02593,arrivo,"(0,1]",1,1,0
2026-02,FR,S02593,arrivo,"(1,5]",13,41,0
2026-02,FR,S02593,arrivo,"(10,15]",1,14,0
2026-02,FR,S02593,arrivo,"(15,30]",2,40,0
2026-02,FR,S02593,arrivo,"(30,60]",2,75,0
2026-02,FR,S02593,arrivo,"(5,10]",4,33,0
2026-02,FR,S02593,arrivo,"(60,120]",5,475,0
2026-02,FR,S02593,partenza,"(-10,-5]",4,0,27
2026-02,FR,S02593,partenza,"(-30,-15]",1,0,16
2026-02,FR,S02593,partenza,"(-5,-1]",7,0,16
2026-02,FR,S02593,partenza,"(0,1]",2,2,0
2026-02,FR,S02593,partenza,"(1,5]",2,7,0
2026-02,FR,S02593,partenza,"(10,15]",6,77,0
2026-02,FR,S02593,partenza,"(15,30]",4,82,0
2026-02,FR,S02593,partenza,"(30,60]",1,49,0
2026-02,FR,S02593,partenza,"(5,10]",3,21,0
2026-02,FR,S02593,partenza,"(60,120]",7,718,0
2026-02,FR,S02593,partenza,> 120,1,178,0
2026-02,FR,S03026,arrivo,"(-1,0]",1,0,0
2026-02,FR,S03026,arrivo,"(-5,-1]",1,0,3
2026-02,FR,S03026,arrivo,"(1,5]",1,4,0
2026-02,FR,S03026,arrivo,"(5,10]",1,8,0
2026-02,FR,S03026,partenza,"(1,5]",1,5,0
2026-02,FR,S03026,partenza,"(5,10]",1,9,0
2026-02,FR,S03304,arrivo,"(-5,-1]",1,0,1
2026-02,FR,S03304,arrivo,"(60,120]",1,73,0
2026-02,FR,S03304,partenza,"(-10,-5]",1,0,9
2026-02,FR,S03304,partenza,> 120,1,224,0
2026-02,FR,S03317,arrivo,"(-10,-5]",1,0,5
2026-02,FR,S03317,arrivo,"(-5,-1]",2,0,7
2026-02,FR,S03317,arrivo,"(1,5]",1,4,0
2026-02,FR,S03317,arrivo,"(15,30]",1,17,0
2026-02,FR,S03317,arrivo,"(5,10]",1,8,0
2026-02,FR,S03317,arrivo,"(60,120]",1,74,0
2026-02,FR,S03317,partenza,"(-1,0]",1,0,0
2026-02,FR,S03317,partenza,"(-5,-1]",1,0,3
2026-02,FR,S03317,partenza,"(1,5]",1,4,0
2026-02,FR,S03317,partenza,"(10,15]",1,14,0
2026-02,FR,S03317,partenza,"(15,30]",1,22,0
2026-02,FR,S03317,partenza,"(5,10]",1,6,0
2026-02,FR,S03317,partenza,> 120,1,163,0
2026-02,FR,S04702,arrivo,"(10,15]",1,12,0
2026-02,FR,S04702,arrivo,"(5,10]",1,8,0
2026-02,FR,S04702,partenza,"(1,5]",1,2,0
2026-02,FR,S04702,partenza,"(10,15]",1,14,0
2026-02,FR,S06421,arrivo,"(-10,-5]",1,0,8
2026-02,FR,S06421,partenza,"(-10,-5]",1,0,7
2026-02,FR,S06421,partenza,"(30,60]",2,103,0
2026-02,FR,S07004,arrivo,"(10,15]",1,13,0
2026-02,FR,S07004,partenza,"(15,30]",1,19,0
2026-02,FR,S07113,arrivo,"(-10,-5]",1,0,5
2026-02,FR,S07113,arrivo,"(-30,-15]",1,0,20
2026-02,FR,S07113,arrivo,"(-5,-1]",1,0,4
2026-02,FR,S07113,partenza,"(-15,-10]",1,0,12
2026-02,FR,S07113,partenza,"(-5,-1]",1,0,2
2026-02,FR,S07113,partenza,"(15,30]",1,20,0
2026-02,FR,S07810,arrivo,"(-10,-5]",1,0,9
2026-02,FR,S07810,arrivo,"(-5,-1]",1,0,3
2026-02,FR,S07810,arrivo,"(30,60]",1,35,0
2026-02,FR,S07810,arrivo,"(5,10]",1,8,0
2026-02,FR,S07810,partenza,"(-5,-1]",1,0,4
2026-02,FR,S07810,partenza,"(1,5]",1,2,0
2026-02,FR,S07810,partenza,"(30,60]",1,45,0
2026-02,FR,S08409,arrivo,"(-1,0]",2,0,0
2026-02,FR,S08409,arrivo,"(-10,-5]",10,0,70
2026-02,FR,S08409,arrivo,"(-30,-15]",1,0,16
2026-02,FR,S08409,arrivo,"(-5,-1]",7,0,20
2026-02,FR,S08409,arrivo,"(0,1]",1,1,0
2026-02,FR,S08409,arrivo,"(1,5]",2,9,0
2026-02,FR,S08409,arrivo,"(10,15]",2,27,0
2026-02,FR,S08409,arrivo,"(15,30]",1,19,0
2026-02,FR,S08409,arrivo,"(30,60]",6,266,0
2026-02,FR,S08409,arrivo,"(5,10]",1,6,0
2026-02,FR,S08409,arrivo,"(60,120]",10,986,0
2026-02,FR,S08409,arrivo,> 120,3,434,0
2026-02,FR,S08409,partenza,"(-1,0]",3,0,0
2026-02,FR,S08409,partenza,"(-10,-5]",3,0,20
2026-02,FR,S08409,partenza,"(-5,-1]",7,0,20
2026-02,FR,S08409,partenza,"(0,1]",3,3,0
2026-02,FR,S08409,partenza,"(1,5]",7,22,0
2026-02,FR,S08409,partenza,"(10,15]",2,24,0
2026-02,FR,S08409,partenza,"(15,30]",1,19,0
2026-02,FR,S08409,partenza,"(30,60]",1,46,0
2026-02,FR,S08409,partenza,"(5,10]",6,48,0
2026-02,FR,S08409,partenza,"(60,120]",7,542,0
2026-02,FR,S08409,partenza,> 120,2,316,0
2026-02,FR,S09211,arrivo,"(-1,0]",1,0,0
2026-02,FR,S09211,arrivo,"(-10,-5]",1,0,7
2026-02,FR,S09211,arrivo,"(15,30]",1,20,0
2026-02,FR,S09211,arrivo,"(60,120]",1,82,0
2026-02,FR,S09211,partenza,"(-5,-1]",1,0,2
2026-02,FR,S09211,partenza,"(1,5]",1,3,0
2026-02,FR,S09211,partenza,"(30,60]",1,38,0
2026-02,FR,S09211,partenza,"(60,120]",2,160,0
2026-02,FR,S09218,arrivo,"(-1,0]",3,0,0
2026-02,FR,S09218,arrivo,"(-10,-5]",6,0,46
2026-02,FR,S09218,arrivo,"(-15,-10]",1,0,10
2026-02,FR,S09218,arrivo,"(-5,-1]",3,0,6
2026-02,FR,S09218,arrivo,"(0,1]",1,1,0
2026-02,FR,S09218,arrivo,"(1,5]",3,12,0
2026-02,FR,S09218,arrivo,"(10,15]",2,25,0
2026-02,FR,S09218,arrivo,"(15,30]",2,47,0
2026-02,FR,S09218,arrivo,"(30,60]",3,131,0
2026-02,FR,S09218,arrivo,"(5,10]",3,25,0
2026-02,FR,S09218,arrivo,"(60,120]",10,1047,0
2026-02,FR,S09218,arrivo,> 120,8,1456,0
2026-02,FR,S09218,partenza,"(-1,0]",3,0,0
2026-02,FR,S09218,partenza,"(-10,-5]",2,0,16
2026-02,FR,S09218,partenza,"(-5,-1]",3,0,4
2026-02,FR,S09218,partenza,"(1,5]",11,36,0
2026-02,FR,S09218,partenza,"(10,15]",5,61,0
2026-02,FR,S09218,partenza,"(15,30]",2,39,0
2026-02,FR,S09218,partenza,"(30,60]",4,170,0
2026-02,FR,S09218,partenza,"(5,10]",4,36,0
2026-02,FR,S09218,partenza,"(60,120]",14,1277,0
2026-02,FR,S09218,partenza,> 120,2,301,0
2026-02,FR,S09810,arrivo,"(5,10]",1,7,0
2026-02,FR,S09818,arrivo,"(-1,0]",1,0,0
2026-02,FR,S09818,arrivo,"(-10,-5]",2,0,11
2026-02,FR,S09818,arrivo,"(-15,-10]",2,0,24
2026-02,FR,S09818,arrivo,"(-5,-1]",2,0,3
2026-02,FR,S09818,arrivo,"(1,5]",1,3,0
2026-02,FR,S09818,arrivo,"(15,30]",1,30,0
2026-02,FR,S09818,arrivo,"(30,60]",1,53,0
2026-02,FR,S09818,arrivo,"(60,120]",2,225,0
2026-02,FR,S09818,arrivo,> 120,2,372,0
2026-02,FR,S09818,partenza,"(-5,-1]",1,0,1
2026-02,FR,S09818,partenza,"(1,5]",2,7,0
2026-02,FR,S09818,partenza,"(10,15]",1,11,0
2026-02,FR,S09818,partenza,"(15,30]",1,23,0
2026-02,FR,S09818,partenza,"(5,10]",1,7,0
2026-02,FR,S09818,partenza,"(60,120]",2,187,0
2026-02,FR,S09818,partenza,> 120,1,158,0
2026-02,FR,S09823,arrivo,"(-10,-5]",1,0,6
2026-02,FR,S09823,arrivo,"(60,120]",1,68,0
2026-02,FR,S09823,partenza,"(15,30]",1,24,0
2026-02,FR,S09823,partenza,"(30,60]",1,57,0
2026-02,FR,S11100,arrivo,"(-10,-5]",1,0,6
2026-02,FR,S11119,arrivo,"(-15,-10]",1,0,13
2026-02,FR,S11119,arrivo,"(-30,-15]",1,0,18
2026-02,FR,S11119,arrivo,"(-5,-1]",1,0,1
2026-02,FR,S11119,arrivo,"(1,5]",1,5,0
2026-02,FR,S11119,arrivo,"(15,30]",1,20,0
2026-02,FR,S11119,partenza,"(1,5]",1,5,0
2026-02,FR,S11119,partenza,"(10,15]",1,12,0
2026-02,FR,S11119,partenza,"(5,10]",2,15,0
2026-02,FR,S11145,arrivo,"(-1,0]",1,0,0
2026-02,FR,S11145,arrivo,"(-5,-1]",3,0,7
2026-02,FR,S11145,arrivo,"(1,5]",3,11,0
2026-02,FR,S11145,arrivo,"(15,30]",1,19,0
2026-02,FR,S11145,arrivo,"(30,60]",1,53,0
2026-02,FR,S11145,partenza,"(-1,0]",1,0,0
2026-02,FR,S11145,partenza,"(-10,-5]",1,0,7
2026-02,FR,S11145,partenza,"(-5,-1]",1,0,2
2026-02,FR,S11145,partenza,"(1,5]",2,7,0
2026-02,FR,S11145,partenza,"(15,30]",1,25,0
2026-02,FR,S11145,partenza,"(5,10]",3,24,0
2026-02,FR,S11465,partenza,"(5,10]",1,7,0
2026-02,FR,S11465,partenza,"(60,120]",1,100,0
2026-02,FR,S11781,arrivo,"(-10,-5]",2,0,17
2026-02,FR,S11781,arrivo,"(1,5]",1,2,0
2026-02,FR,S11781,arrivo,"(5,10]",2,12,0
2026-02,FR,S11781,arrivo,"(60,120]",2,173,0
2026-02,FR,S11781,arrivo,> 120,2,393,0
2026-02,FR,S11781,partenza,"(1,5]",3,12,0
2026-02,FR,S11781,partenza,"(15,30]",1,20,0
2026-02,FR,S11781,partenza,"(60,120]",1,95,0
2026-02,FR,S11811,arrivo,"(30,60]",1,47,0
2026-02,FR,S11811,arrivo,> 120,1,161,0
2026-02,FR,S11811,partenza,"(10,15]",1,15,0
2026-02,FR,S11811,partenza,"(60,120]",1,88,0
2026-02,IC,S00219,arrivo,"(-10,-5]",1,0,6
2026-02,IC,S00219,arrivo,"(-5,-1]",2,0,6
2026-02,IC,S00219,arrivo,"(1,5]",1,2,0
2026-02,IC,S00219,arrivo,"(15,30]",1,18,0
2026-02,IC,S00219,partenza,"(-10,-5]",1,0,8
2026-02,IC,S00219,partenza,"(-15,-10]",1,0,14
2026-02,IC,S00219,partenza,"(-30,-15]",1,0,15
